Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,,
"Retail and food services sales, total","412,155","417,159","414,092","412,237","414,309","415,742","418,604","417,644","417,849","419,599","420,658","423,362",,
Retail sales and food services excl motor vehicle and parts,"334,456","338,338","336,182","333,848","334,591","334,425","336,889","336,272","337,653","338,108","338,836","341,898",,
Retail sales and food services excl gasoline stations,"366,111","368,113","366,505","366,068","368,716","369,914","372,598","372,006","372,097","374,524","375,935","376,690",,
Retail sales and food services excl motor vehicle and parts and gasoline stations,"288,412","289,292","288,595","287,679","288,998","288,597","290,883","290,634","291,901","293,033","294,113","295,226",,
"Retail sales, total","367,009","372,291","369,081","367,514","369,493","371,041","373,554","372,489","372,505","373,663","373,914","377,032",,
"Retail sales, total (excl. motor vehicle and parts dealers)","289,310","293,470","291,171","289,125","289,775","289,724","291,839","291,117","292,309","292,172","292,092","295,568",,
GAFO(1),"100,937","101,292","100,729","100,769","100,866","101,163","101,594","100,997","101,412","102,180","101,451","101,121",,
Motor vehicle and parts dealers,"77,699","78,821","77,910","78,389","79,718","81,317","81,715","81,372","80,196","81,491","81,822","81,464",,
Automobile and other motor vehicle dealers,"70,706","71,716","70,898","71,405","72,622","74,281","74,630","74,211","73,063","74,215","74,488","74,089",,
"Automotive parts, acc., and tire stores","6,993","7,105","7,012","6,984","7,096","7,036","7,085","7,161","7,133","7,276","7,334","7,375",,
"Furniture, home furn, electronics, and appliance stores","16,723","16,727","16,509","16,502","16,422","16,644","16,571","16,614","16,612","16,807","16,747","16,461",,
Furniture and home furnishings stores,"7,912","7,863","7,867","7,834","7,759","7,986","7,973","8,022","8,084","8,191","8,236","7,988",,
Electronics and appliance stores,"8,811","8,864","8,642","8,668","8,663","8,658","8,598","8,592","8,528","8,616","8,511","8,473",,
Building mat. and garden equip. and supplies dealers,"24,376","24,759","24,692","24,815","25,320","24,799","25,347","25,284","25,259","24,917","24,828","24,956",,
Building mat. and supplies dealers,"20,848","21,098","21,175","21,458","21,724","21,449","21,648","21,730","21,708","21,541","21,450","21,427",,
Food and beverage stores,"52,654","53,230","53,103","52,733","53,253","53,217","53,618","53,693","53,820","53,943","54,066","54,606",,
Grocery stores,"47,237","47,677","47,624","47,307","47,799","47,792","48,101","48,135","48,291","48,444","48,493","48,986",,
"Beer, wine and liquor stores","3,742","3,788","3,765","3,757","3,787","3,757","3,829","3,848","3,837","3,810","3,857","3,861",,
Health and personal care stores,"23,173","23,008","23,049","22,953","23,055","23,043","23,308","23,305","23,728","23,771","23,772","23,824",,
Pharmacies and drug stores,"19,430","19,248","19,282","19,171","19,212","19,250","19,402","19,479","19,924","19,791","19,878","19,917",,
Gasoline stations,"46,044","49,046","47,587","46,169","45,593","45,828","46,006","45,638","45,752","45,075","44,723","46,672",,
Clothing and clothing access. stores,"20,434","20,305","20,316","20,498","20,376","20,368","20,578","20,315","20,305","20,790","20,279","20,565",,
Clothing stores,"15,103","14,885","14,838","14,906","14,946","14,919","15,128","14,880","14,808","15,049","14,745","14,940",,
Men's clothing stores,775,697,714,718,714,700,746,752,740,784,768,758,,
Women's clothing stores,"3,655","3,386","3,435","3,437","3,445","3,431","3,489","3,486","3,482","3,480","3,414","3,402",,
Shoe stores,"2,596","2,618","2,676","2,780","2,704","2,714","2,759","2,742","2,737","2,857","2,747","2,800",,
Jewelry stores,"2,520","2,573","2,574","2,585","2,490","2,502","2,455","2,448","2,517","2,645","2,555","2,591",,
"Sporting goods, hobby, musical instrument, and book stores","7,010","7,009","6,891","6,795","6,857","6,893","6,938","6,764","6,876","6,863","6,903","6,870",,
General merchandise stores,"54,074","54,534","54,236","54,198","54,453","54,447","54,636","54,466","54,836","54,919","54,770","54,662",,
Department stores,"14,739","14,544","14,440","14,230","14,336","14,219","14,115","14,066","14,139","14,261","14,083","13,994",,
Other general merchandise stores,"39,335","39,990","39,796","39,968","40,117","40,228","40,521","40,400","40,697","40,658","40,687","40,668",,
Warehouse clubs and superstores,"34,316","34,932","34,733","34,848","34,936","35,063","35,290","35,192","35,429","35,416","35,447","35,447",,
All other gen. merchandise stores,"5,019","5,058","5,063","5,120","5,181","5,165","5,231","5,208","5,268","5,242","5,240","5,221",,
Miscellaneous stores retailers,"9,223","9,276","9,367","9,322","9,319","9,169","9,209","9,304","9,502","9,488","9,555","9,393",,
Nonstore retailers,"35,599","35,576","35,421","35,140","35,127","35,316","35,628","35,734","35,619","35,599","36,449","37,559",,
Electronic shopping and mail order houses,"28,820","28,624","28,528","28,284","28,419","28,552","28,819","28,876","28,961","28,703","29,042","29,761",,
Fuel dealers,"3,033","3,182","3,215","3,219","3,012","2,967","3,016","2,977","3,074","3,217","3,523","3,809",,
Food services and drinking places,"45,146","44,868","45,011","44,723","44,816","44,701","45,050","45,155","45,344","45,936","46,744","46,330",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
