Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,,
"Retail and food services sales, total","502,724","502,627","510,320","512,326","513,870","515,911","519,447","521,833","518,605","521,114","522,805","523,862",,
Retail sales and food services excl motor vehicle and parts,"403,119","402,274","407,080","410,137","411,251","412,955","415,767","416,233","414,893","417,017","416,225","419,039",,
Retail sales and food services excl gasoline stations,"462,943","461,187","467,658","468,839","470,594","473,294","476,049","479,050","476,067","477,848","479,565","479,769",,
Retail sales and food services excl motor vehicle and parts and gasoline stations,"363,338","360,834","364,418","366,650","367,975","370,338","372,369","373,450","372,355","373,751","372,985","374,946",,
"Retail sales, total","440,751","439,996","447,167","448,709","449,552","450,927","454,012","456,500","452,849","455,486","457,658","458,055",,
"Retail sales, total (excl. motor vehicle and parts dealers)","341,146","339,643","343,927","346,520","346,933","347,971","350,332","350,900","349,137","351,389","351,078","353,232",,
GAFO(1),"107,814","107,153","108,744","109,319","108,851","109,081","109,662","109,339","108,996","109,047","108,946","109,703",,
Motor vehicle and parts dealers,"99,605","100,353","103,240","102,189","102,619","102,956","103,680","105,600","103,712","104,097","106,580","104,823",,
Automobile and other motor vehicle dealers,"91,828","92,351","95,081","94,055","94,517","94,886","95,634","97,409","95,681","95,987","98,421","96,717",,
"Automotive parts, acc., and tire stores","7,777","8,002","8,159","8,134","8,102","8,070","8,046","8,191","8,031","8,110","8,159","8,106",,
"Furniture, home furn, electronics, and appliance stores","17,406","17,370","17,579","17,592","17,664","17,620","17,719","17,654","17,795","17,566","17,733","17,487",,
Furniture and home furnishings stores,"9,787","9,862","10,008","10,073","10,074","10,071","10,067","10,082","10,177","10,120","10,219","9,990",,
Electronics and appliance stores,"7,619","7,508","7,571","7,519","7,590","7,549","7,652","7,572","7,618","7,446","7,514","7,497",,
Building mat. and garden equip. and supplies dealers,"32,451","30,745","31,106","30,959","30,338","30,385","30,679","31,270","30,806","31,118","31,312","31,952",,
Building mat. and supplies dealers,"28,291","26,795","27,290","27,295","27,010","26,775","26,826","27,382","26,904","27,022","27,143","27,798",,
Food and beverage stores,"63,940","62,493","63,724","63,950","64,071","64,557","65,344","65,328","64,871","64,915","65,212","65,676",,
Grocery stores,"57,299","55,865","57,045","57,255","57,417","57,849","58,581","58,549","58,117","58,172","58,406","58,877",,
"Beer, wine and liquor stores","4,660","4,667","4,704","4,686","4,683","4,736","4,760","4,783","4,764","4,742","4,798","4,829",,
Health and personal care stores,"28,639","28,756","28,700","28,545","28,684","28,615","28,398","28,414","28,434","28,718","28,499","28,359",,
Pharmacies and drug stores,"23,673","23,699","23,741","23,624","23,849","23,736","23,626","23,586","23,625","23,900","23,400","23,307",,
Gasoline stations,"39,781","41,440","42,662","43,487","43,276","42,617","43,398","42,783","42,538","43,266","43,240","44,093",,
Clothing and clothing access. stores,"22,040","22,012","22,431","22,360","22,246","22,374","22,548","22,432","22,415","22,400","22,272","22,941",,
Clothing stores,"16,097","15,991","16,328","16,299","16,265","16,346","16,409","16,276","16,187","16,314","16,316","16,759",,
Men's clothing stores,788,740,759,769,759,746,760,754,758,766,764,755,,
Women's clothing stores,"3,297","3,230","3,324","3,271","3,299","3,259","3,278","3,214","3,226","3,210","3,203","3,199",,
Shoe stores,"3,102","3,125","3,168","3,083","3,030","3,042","3,068","3,040","3,016","3,044","2,964","3,016",,
Jewelry stores,"2,569","2,623","2,653","2,693","2,659","2,670","2,774","2,805","2,902","2,755","2,673","2,822",,
"Sporting goods, hobby, musical instrument, and book stores","6,541","6,594","6,632","6,775","6,815","6,892","6,785","6,775","6,823","6,846","6,633","6,702",,
General merchandise stores,"59,432","58,756","59,647","60,161","59,648","59,693","60,138","60,073","59,589","59,869","59,958","60,259",,
Department stores,"11,469","11,486","11,416","11,443","11,430","11,280","11,380","11,264","11,098","11,069","11,044","10,962",,
Other general merchandise stores,"47,963","47,270","48,231","48,718","48,218","48,413","48,758","48,809","48,491","48,800","48,914","49,297",,
Warehouse clubs and superstores,"41,274","40,681","41,525","41,936","41,466","41,668","42,001","42,061","41,817","42,116","42,240","42,597",,
All other gen. merchandise stores,"6,689","6,589","6,706","6,782","6,752","6,745","6,757","6,748","6,674","6,684","6,674","6,700",,
Miscellaneous stores retailers,"10,346","10,455","10,601","10,829","10,885","11,001","10,900","11,199","11,208","11,397","11,445","11,211",,
Nonstore retailers,"60,570","61,022","60,845","61,862","63,306","64,217","64,423","64,972","64,658","65,294","64,774","64,552",,
Electronic shopping and mail order houses,"52,738","53,365","53,145","54,225","55,641","56,317","56,508","56,956","56,798","57,426","56,807","56,720",,
Fuel dealers,"2,871","2,891","3,032","2,918","2,893","2,970","2,948","2,925","2,827","2,842","3,096","2,819",,
Food services and drinking places,"61,973","62,631","63,153","63,617","64,318","64,984","65,435","65,333","65,756","65,628","65,147","65,807",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
