Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,,
"Retail and food services sales, total","576,466","559,893",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Retail sales and food services excl motor vehicle and parts,"456,387","444,097",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Retail sales and food services excl gasoline stations,"535,571","517,604",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Retail sales and food services excl motor vehicle and parts and gasoline stations,"415,492","401,808",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"Retail sales, total","520,162","504,548",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"Retail sales, total (excl. motor vehicle and parts dealers)","400,083","388,752",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
GAFO(1),"118,584","111,870",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Motor vehicle and parts dealers,"120,079","115,796",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Automobile and other motor vehicle dealers,"111,475","107,347",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"Automotive parts, acc., and tire stores","8,604","8,449",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"Furniture, home furn, electronics, and appliance stores","19,623","18,661",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Furniture and home furnishings stores,"12,098","11,490",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Electronics and appliance stores,"7,525","7,171",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Building mat. and garden equip. and supplies dealers,"39,996","38,002",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Building mat. and supplies dealers,"34,710","32,753",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Food and beverage stores,"72,730","72,406",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Grocery stores,"64,656","64,353",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"Beer, wine and liquor stores","5,936","5,914",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Health and personal care stores,"30,204","29,930",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Pharmacies and drug stores,"25,548","25,108",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Gasoline stations,"40,895","42,289",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Clothing and clothing access. stores,"21,351","20,234",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Clothing stores,"14,174","13,724",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Men's clothing stores,435,449,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Women's clothing stores,"2,765","2,616",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Shoe stores,"3,069","2,511",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Jewelry stores,"3,729","3,622",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
"Sporting goods, hobby, musical instrument, and book stores","8,579","8,011",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
General merchandise stores,"66,933","62,909",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Department stores,"10,698","9,900",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Other general merchandise stores,"56,235","53,009",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Warehouse clubs and superstores,"48,443","45,664",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
All other gen. merchandise stores,"7,792","7,345",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Miscellaneous stores retailers,"12,744","12,341",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Nonstore retailers,"87,028","83,969",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Electronic shopping and mail order houses,"78,993","75,564",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Fuel dealers,"2,676","3,146",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
Food services and drinking places,"56,304","55,345",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
