Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,,
"Retail and food services sales, total","491,492","493,759","493,373","495,025","500,719","499,631","502,962","501,913","500,362","506,010","506,973","496,593",,
Retail sales and food services excl motor vehicle and parts,"391,213","393,942","393,244","394,562","399,841","399,038","401,779","402,204","400,948","406,131","406,277","394,822",,
Retail sales and food services excl gasoline stations,"448,732","450,575","450,761","452,622","457,194","455,858","458,788","457,297","456,273","460,132","463,251","455,631",,
Retail sales and food services excl motor vehicle and parts and gasoline stations,"348,453","350,758","350,632","352,159","356,316","355,265","357,605","357,588","356,859","360,253","362,555","353,860",,
"Retail sales, total","432,148","434,106","433,232","435,610","439,996","438,191","440,703","439,278","438,985","444,038","445,242","434,803",,
"Retail sales, total (excl. motor vehicle and parts dealers)","331,869","334,289","333,103","335,147","339,118","337,598","339,520","339,569","339,571","344,159","344,546","333,032",,
GAFO(1),"107,591","108,619","107,377","108,236","110,084","108,423","108,795","108,286","107,777","108,637","109,261","107,535",,
Motor vehicle and parts dealers,"100,279","99,817","100,129","100,463","100,878","100,593","101,183","99,709","99,414","99,879","100,696","101,771",,
Automobile and other motor vehicle dealers,"92,469","91,992","92,303","92,621","92,953","92,689","93,196","91,782","91,396","91,873","92,728","93,824",,
"Automotive parts, acc., and tire stores","7,810","7,825","7,826","7,842","7,925","7,904","7,987","7,927","8,018","8,006","7,968","7,947",,
"Furniture, home furn, electronics, and appliance stores","17,722","17,851","17,817","18,107","17,919","17,962","17,922","17,825","17,596","17,677","17,631","17,463",,
Furniture and home furnishings stores,"9,875","9,910","9,937","10,113","9,974","9,971","10,006","9,885","9,818","9,907","9,917","9,884",,
Electronics and appliance stores,"7,847","7,941","7,880","7,994","7,945","7,991","7,916","7,940","7,778","7,770","7,714","7,579",,
Building mat. and garden equip. and supplies dealers,"29,261","30,076","29,792","29,807","30,546","30,974","30,991","30,601","30,735","31,505","30,855","30,971",,
Building mat. and supplies dealers,"25,775","26,384","26,161","26,343","26,993","27,340","27,298","26,720","26,771","27,214","26,876","27,011",,
Food and beverage stores,"61,935","62,026","62,166","62,516","62,516","62,350","62,713","62,510","62,813","63,056","63,138","62,979",,
Grocery stores,"55,465","55,520","55,631","55,999","55,953","55,828","56,158","56,007","56,203","56,414","56,478","56,359",,
"Beer, wine and liquor stores","4,520","4,520","4,564","4,573","4,601","4,575","4,600","4,556","4,629","4,638","4,669","4,664",,
Health and personal care stores,"27,671","27,510","27,674","27,937","28,309","28,076","28,258","28,533","28,319","28,555","29,077","27,944",,
Pharmacies and drug stores,"23,053","22,704","22,922","23,096","23,476","23,192","23,516","23,756","23,607","23,740","23,996","23,088",,
Gasoline stations,"42,760","43,184","42,612","42,403","43,525","43,773","44,174","44,616","44,089","45,878","43,722","40,962",,
Clothing and clothing access. stores,"21,848","22,365","21,697","22,045","22,855","22,343","22,698","22,101","22,112","22,506","22,535","22,028",,
Clothing stores,"15,928","16,343","15,770","15,959","16,660","16,161","16,452","16,147","16,151","16,339","16,452","16,044",,
Men's clothing stores,756,774,764,794,777,777,769,766,762,768,780,750,,
Women's clothing stores,"3,223","3,273","3,205","3,295","3,397","3,283","3,314","3,330","3,345","3,423","3,524","3,251",,
Shoe stores,"3,004","3,071","2,950","3,083","3,180","3,131","3,262","3,012","3,085","3,217","3,208","3,108",,
Jewelry stores,"2,660","2,687","2,710","2,730","2,748","2,780","2,715","2,679","2,615","2,690","2,609","2,605",,
"Sporting goods, hobby, musical instrument, and book stores","6,879","7,163","7,237","7,127","7,138","6,919","6,673","6,608","6,503","6,501","6,579","6,398",,
General merchandise stores,"58,607","58,670","58,081","58,423","59,682","58,687","58,966","59,202","58,992","59,355","59,962","59,257",,
Department stores,"12,158","12,155","11,500","12,224","12,389","11,873","11,942","11,864","11,674","11,782","11,771","11,433",,
Other general merchandise stores,"46,449","46,515","46,581","46,199","47,293","46,814","47,024","47,338","47,318","47,573","48,191","47,824",,
Warehouse clubs and superstores,"40,031","40,114","40,213","39,859","40,725","40,385","40,578","40,817","40,724","40,924","41,307","41,133",,
All other gen. merchandise stores,"6,418","6,401","6,368","6,340","6,568","6,429","6,446","6,521","6,594","6,649","6,884","6,691",,
Miscellaneous stores retailers,"10,855","10,807","10,711","10,651","10,810","10,763","10,411","10,625","10,659","10,907","10,779","10,558",,
Nonstore retailers,"54,331","54,637","55,316","56,131","55,818","55,751","56,714","56,948","57,753","58,219","60,268","54,472",,
Electronic shopping and mail order houses,"46,387","47,272","47,799","48,196","48,140","48,339","49,119","49,458","50,248","50,461","52,430","46,816",,
Fuel dealers,"3,591","2,757","2,775","3,188","2,972","2,934","3,052","3,004","3,001","3,175","3,040","2,847",,
Food services and drinking places,"59,344","59,653","60,141","59,415","60,723","61,440","62,259","62,635","61,377","61,972","61,731","61,790",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
