Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,,
"Retail and food services sales, total","418,947","425,005","429,658","433,826","434,640","435,816","436,442","439,680","438,842","440,164","441,536","439,077",,
Retail sales and food services excl motor vehicle and parts,"339,912","343,436","345,152","348,010","348,656","349,588","349,853","352,463","352,332","353,409","353,721","351,611",,
Retail sales and food services excl gasoline stations,"371,812","377,483","382,790","386,738","387,853","390,032","390,627","393,807","393,402","395,652","397,895","398,578",,
Retail sales and food services excl motor vehicle and parts and gasoline stations,"292,777","295,914","298,284","300,922","301,869","303,804","304,038","306,590","306,892","308,897","310,080","311,112",,
"Retail sales, total","373,033","378,581","382,601","386,689","387,100","388,106","388,359","391,305","389,860","390,506","391,805","388,569",,
"Retail sales, total (excl. motor vehicle and parts dealers)","293,998","297,012","298,095","300,873","301,116","301,878","301,770","304,088","303,350","303,751","303,990","301,103",,
GAFO(1),"100,549","102,125","102,550","103,648","102,996","103,098","103,455","104,413","103,785","104,429","104,928","104,922",,
Motor vehicle and parts dealers,"79,035","81,569","84,506","85,816","85,984","86,228","86,589","87,217","86,510","86,755","87,815","87,466",,
Automobile and other motor vehicle dealers,"71,798","74,250","77,184","78,506","78,783","79,112","79,475","80,027","79,333","79,563","80,225","80,308",,
"Automotive parts, acc., and tire stores","7,237","7,319","7,322","7,310","7,201","7,116","7,114","7,190","7,177","7,192","7,590","7,158",,
"Furniture, home furn, electronics, and appliance stores","16,309","16,636","16,851","16,915","16,760","16,697","16,799","17,004","17,101","17,094","17,385","17,517",,
Furniture and home furnishings stores,"7,808","8,111","8,254","8,366","8,347","8,369","8,380","8,517","8,442","8,484","8,577","8,739",,
Electronics and appliance stores,"8,501","8,525","8,597","8,549","8,413","8,328","8,419","8,487","8,659","8,610","8,808","8,778",,
Building mat. and garden equip. and supplies dealers,"24,872","24,817","25,282","26,122","26,465","26,620","26,084","26,569","26,494","26,463","26,602","26,268",,
Building mat. and supplies dealers,"21,430","21,398","21,677","22,302","22,766","22,902","22,622","23,001","23,046","22,873","22,894","22,660",,
Food and beverage stores,"54,797","54,759","54,888","55,279","55,451","55,966","56,144","56,299","56,476","56,776","56,764","57,113",,
Grocery stores,"49,128","49,158","49,246","49,591","49,771","50,148","50,370","50,506","50,728","50,941","50,964","51,190",,
"Beer, wine and liquor stores","3,903","3,859","3,875","3,913","3,897","4,010","3,968","3,980","3,962","4,015","3,957","4,030",,
Health and personal care stores,"23,768","23,906","24,053","24,259","24,594","24,797","24,813","24,902","25,046","24,962","25,064","25,240",,
Pharmacies and drug stores,"19,977","20,076","20,178","20,364","20,570","20,749","20,789","20,858","20,958","20,763","20,891","21,120",,
Gasoline stations,"47,135","47,522","46,868","47,088","46,787","45,784","45,815","45,873","45,440","44,512","43,641","40,499",,
Clothing and clothing access. stores,"20,517","20,543","20,667","21,161","20,765","20,799","20,918","21,035","20,830","21,121","21,394","21,296",,
Clothing stores,"14,843","14,832","15,019","15,423","15,122","15,129","15,227","15,339","15,232","15,447","15,752","15,684",,
Men's clothing stores,761,802,781,776,766,754,761,769,763,774,796,777,,
Women's clothing stores,"3,360","3,399","3,402","3,402","3,408","3,354","3,410","3,445","3,414","3,410","3,471","3,504",,
Shoe stores,"2,791","2,844","2,817","2,878","2,817","2,847","2,846","2,829","2,800","2,842","2,867","2,853",,
Jewelry stores,"2,650","2,618","2,610","2,641","2,601","2,600","2,632","2,649","2,575","2,615","2,556","2,529",,
"Sporting goods, hobby, musical instrument, and book stores","6,485","6,798","6,794","6,903","6,877","6,952","6,928","7,166","7,061","7,157","7,137","7,074",,
General merchandise stores,"54,538","55,390","55,469","55,963","55,960","55,952","56,067","56,433","56,032","56,249","56,338","56,388",,
Department stores,"13,711","14,153","14,123","14,468","14,247","14,020","14,124","14,150","13,920","13,917","13,955","14,030",,
Other general merchandise stores,"40,827","41,237","41,346","41,495","41,713","41,932","41,943","42,283","42,112","42,332","42,383","42,358",,
Warehouse clubs and superstores,"35,553","35,887","36,047","36,105","36,298","36,484","36,483","36,788","36,633","36,838","36,905","36,813",,
All other gen. merchandise stores,"5,274","5,350","5,299","5,390","5,415","5,448","5,460","5,495","5,479","5,494","5,478","5,545",,
Miscellaneous stores retailers,"9,251","9,387","9,473","9,344","9,535","9,599","9,623","9,743","9,719","9,904","9,828","9,800",,
Nonstore retailers,"36,326","37,254","37,750","37,839","37,922","38,712","38,579","39,064","39,151","39,513","39,837","39,908",,
Electronic shopping and mail order houses,"28,722","29,572","30,289","30,613","30,764","31,719","31,497","31,874","32,078","32,578","32,671","33,183",,
Fuel dealers,"3,945","3,992","3,816","3,521","3,283","3,225","3,263","3,271","3,192","3,031","3,289","2,969",,
Food services and drinking places,"45,914","46,424","47,057","47,137","47,540","47,710","48,083","48,375","48,982","49,658","49,731","50,508",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
